(use LMB),(Left MB),(ЛКМ),(Botão esquerdo do Mouse)
tutorial: special skills,Ready. You can now use special skills. Just know that I won't be able to do that during the fight.,"Готово. Теперь ты можешь использовать особую форму магии. Но помни, в битве я не смогу ускорить всё.",Pronto. Agora você pode usar habilidades especiais. Só saiba que eu não serei capaz de fazer isso durante a luta.
tutorial: end tip,"Actually you could do that since the beginning to skip my annoying tutorials. So, keep that in mind for next time.",На самом деле ты мог сделать это с самого начала и пропустить дурацкое обучение.,Na verdade você pode fazer isso desde o inicio para avançar meus tutoriais irritantes. Então mantenha isso em mente para a próxima vez.
tutorial: alt,"Moving backwards is slower, but it helps you escape from enemies and attack them at the same time.","Движение назад медленнее, но помогает избежать атак врагов.","Se impulsionar para trás é mais lento, mas te ajuda a escapar de inimigos e ataca-los ao mesmo tempo."
use Shift + Attack,Use Shift and Attack,Используй Shift и атакуй,"Use ""Shift"" e ataque!"
tutorial: stone,"Walk right until you find the stone in the earth. Jump near it so it pops out, then push it into the small shrine.","Иди направо до камня в земле. Подпрыгни возле него - и камень взлетит, толкни камень в сторону.","Ande direto até encontrar uma pedra na terra, pule junto a ela e ela será lançada ao ar, então, empurre ela para dentro do pequeno altar."
start: after illustrations,That's how it is. Now let me tell you a few more important details.,"Хорошо, а теперь позволь мне рассказать кое-что.",E é assim que as coisas são. Agora deixe-me te dizer algumas outras coisas importantes.
start: main goal,"We have to protect this crystal at all costs. The candles will help us, but try to keep them safe, too.","Нам нужно защитить этот кристалл любой ценой. Свечи помогут нам в этом, так что береги их.","Nós temos que proteger esse cristal a qualquer custo. As velas nos ajudarão, mas tente mante-las em segurança também."
start: balance,"We need to keep balance between light and darkness. Night and day, Sun and Moon, nature is always balanced.","Ночь и День, Луна и Солнце - в природе все уравновешенно, как Свет и Тьма.","Nós precisamos manter o equilíbrio entre luz e escuridão, Noite e Dia, Sol e Lua. A natureza sempre é equilibrada."
start: dark matter,When fighting enemies you will absorb dark matter. It will displace the balance in your soul until...,"Сражаясь, ты будешь поглащать тёмную материю, смещать баланс в сторону тьмы пока не…","Ao lutar com inimigues, você absorverá matéria escura. Ela lentamente desequilibrará o equilíbrio na sua alma, até que..."
start: no more time,Ah! No more time to speak! They are coming...,Нет! Нет больше времени на разговоры! Они здесь…,Ah! Não temos mais tempo para conversar! Elus estão vindo...
start: portal appeared,The Night Nymphs are coming from this portal!,Нимфы Ночи будут появляться из этого портала!,As Ninfas Noturnas estão vindo daquele portal!
start: one more,Another one!? This makes things harder... At least you can teleport between them.,"Ещё один?! Это все усложняет… Однако я думаю, между ними можно перемещаться.",Outro!? Isso deixa tudo mais difícil... Pelo menos dá pra teleportar entre eles.
start: text over,"Good luck, my friend! Don't let them harm the Sunset Forest!","Что ж… Удачи, мой друг! Не дай им навредить Лесу Заката.","Boa sorte, minhe amigue! Não deixe que elus machuquem a Floresta do Crespúsculo!"
tutorial wave: finished,Last one?... Surely not. They were just toying with us.,Все? … Не думаю. Они просто играют с нами.,Foi o último? Com certeza não. Elus estão só brincando com a gente.
tutorial wave: preparation,But at least we have more time to prepare for the next waves.,"Хотя бы выиграли время, чтобы подготовиться к следующей волне.",Pelo menos nós temos mais tempo para nos prepararmos para as próximas ondas de ataque.
tutorial wave: dark matter left,This dark matter ain't enough to corrupt the forest. We can use it for another purpose this time.,Тебе не хватает тёмной материи для всплеска. Используем ее иначе на этот раз.,"Essa matéria escura não é suficiente para corromper a floresta, podemos usa-la para outro propósito desta vez..."
tutorial wave: candles healed,"I've healed the candles using the dark matter you earned, but... we'd better not do that anymore.","Я вылечил свечи и святилище с помощью тёмной материи, но… не стоит больше так делать.","Eu curei as velas usando a matéria escura que você conseguimos, mas não devemos fazer isto novamente."
tutorial wave: more help,I think it's time to seek additional help from the Sunset Forest.,"Я думаю, пора взыскать помощи у сил Леса.",Eu acho que é hora de procurar ajuda adicional para a Floresta do Crepúsculo.
tutorial wave: companion soul,This is the Ancient Soul of the forest keeper. I hope it can help us.,"Это Древняя Душа хранителя леса. Я надеюсь, она поможет.",Essa é a Alma Anciã do protetor da floresta. Espero que ela consiga nos ajudar.
tutorial wave: companion egg,"It can take 2 different forms, but you have to release them from the seeds that appear.","Она может принимать две различные формы, но для начала нужно высвободить ее из семени.","Ela pode tomar duas formas diferentes, mas você deve liberta-la das sementes que aparecerem."
dark matter unleash: portal damaged 1,Damaged! But not destroyed. They will probably attack with stronger forces now.,"Все ещё открыт, видимо одного всплеска недостаточно. Думаю теперь они пойдут в бой с большими силами.",Danificado! Mas não destruído. Elus provavelmente atacarão com forças maiores agora!
dark matter unleash: see 1,"Here they come. Voa. How irritating! At least the dark matter heals my body. Come, my friend!","А вот и подкрепление - Воа. Однако видимо всплеск тёмной материи усилил и тебя. Ну что ж, продолжим!","Aí vem elus! Voa. Que irritante! Pelo menos a matéria escura cura meu corpo. Venha, amigue!"
dark matter unleash: portal damaged 2,Still here! Just one more shot ought to do it. Steady now. They are rallying to attack in full force.,"И все ещё здесь. Чувствую осталось немного. Готовься, они пустят все силы в бой.",Ainda de pé! Mais um tiro deve resolver. Forças! Elus estão atacando com força total!
dark matter unleash: see 2,"Momma seeds. Don't ignore them because they're small. They give birth to something bigger. Nastier. Better read the bestiary, friend.","Семена нимф мамма. Не игнорируй их из-за размера, они рождают кое-что большее, советую почитать бестиарий.","Sementes de Momma. Não ignore por serem pequenes. Elus dão luz a coisas maiores e mais desagradáveis. Melhor ler o bestiário, amigue."
dark matter unleash: portal damaged 3,That's it! We've done it!,Да! Мы сделали это!,Acabou! Conseguimos!
dark matter unleash: see 3,No more Night Nymphs will threaten the Sunset Forest. It's so calm here now... Like it always used to be...,Нимфы Ночи больше не смогу покуситься на гармонию в Лесу Заката. Как здесь спокойно… Как было всегда…,Nenhuma Ninfa Noturna ameaçará a Floresta do Crespúsculo. Está tão calmo aqui agora... Como costumava ser...
boss: feeling,Wait... Something is wrong... I can feel it.,Стой… Что-то не так… Я чувствую…,Espere... Tem algo errado... Eu posso sentir.
boss: appears,Oh no... Not again...,"О нет, только не это!",Ah não... De novo não...
boss: explanation,It's the Sacred Soul of the Night Nymphs... In its most monstrous form.,"Это Святая Душа ночных нимф, в ее… самой страшной форме.",É a Alma Sagrada das Ninfas Noturnas... Em sua forma mais monstruosa.
boss: don't fear,It has come for the crystal... We can't let that happen!,Она пришла за кристаллом… Мы не можем позволить этому произойти!,Elu veio por causa do cristal... Não podemos deixar que isso aconteça!
boss: hide crystal,We have no choice. It's time for the crystal itself to help us.,У нас не осталось выбора... Нужна помощь самого Кристалла.,Não temos escolha. É hora do cristal em sí nos ajudar.
boss: sever lifestreams,...,...,...
boss: fight now,"No way back now... Only me, you, and this forest...",Пути назад нет... Только мы и этот лес.,"Não tem volta agora... É só eu, você e esta floresta..."
boss: soul death,No... No! It's gone...,О нет... Нет! Нет...,Não... Não! Se foi...
or,or,или,ou
restart: 1,"You're back! Thanks for not leaving us. Come on, it's alright. And look! Our little friend is still here as well.","Ты снова здесь! Спасибо, что не ушел. Все в порядке, да и смотри: наш друг все еще здесь.","Você está de volta! Obrigado por não nos deixar! Vamos, está tudo bem. Olhe! Nosse pequene amigue está aqui também!"
restart: 2,"Let's go again. By the way, I've documented a bestiary of the Night Nymphs. It's never late to read it. Take your time.","Давай еще раз. К слову, никогда не поздно заглянуть в бестиарий, там много полезной информации.","Vamos de novo. Por falar nisso, eu documentei um bestiário das Ninfas Noturnas. Nunca é tarde demais para ler, tome seu tempo."
restart: 3,"... It's probably so frustrating to wake up so often. Please don't give up, my friend. The Sunset Forest needs us!","... Наверное тяжело вот так, но прошу, мой друг, не сдавайся. Лес Заката нуждается в тебе!","...É provavelmente tão frustrante acordar tão frequentemente. Por favor, não desista, minhe amigue. A Floresta do Crepúsculo precisa de nós! "
restart: boss first,"She is really powerful. Be more careful this time, please.\n(Little tip: dash backwards on its teleports.)","Она очень сильна, будь осторожен в этот раз, прошу.\n(Подсказка: делай рывок назад, чтобы увернуться от атаки со спины)","É muito poderose. Seja mais cuidadose desta vez, por favor. \n (Dicazinha: se impulsione para trás nos teleportes delu.)"
restart: loaded game,"Welcome back! Let's hope you haven't forgotten anything... Well, anyway, no time to lose. Come along!","Добро пожаловать обратно! Надеюсь, ничего не забыл?.. А впрочем у нас нет на это времени, поторопимся!","Bem vinde de volta! Espero que você não tenha esquecido de nada... De qualquer forma, não há tempo a perder. Vamos!"
restart: extension,Your persistence is inspiring. Yet I grow tired. Let's do it this time!,"Твое упорство впечатляет, правда даже я уже подустал. Ну ладно, в этот раз точно справишься!",Sua persistência é inspiradora... Mas estou ficando cansade. Vamos conseguir desta vez!
tutorial bestiary: hp,"These leaves indicate your state of health. After losing them all you lose. As easy as that. But fortunately everything in the Sunset Forest is interconnected, so the Night Nymphs sometimes drop new ones after being banished. Collect them to stay alive or just never lose them. The leaves of different colors are totally equal, also, it feels like the limit of 4 is temporary.","Эти листья указывают на состояние твоего здоровья. Потеряв их все, ты проиграешь. Вот так просто. Но, к счастью, все в Лесу Заката взаимосвязано, поэтому Ночные нимфы после изгнания могут оставить новые. Собирай их, чтобы остаться в живых. Листья разного цвета абсолютно одинаковы, кроме того, создается ощущение, что ограничение в 4 штуки - временное.","Essas folhas representam como você está de saúde. Depois de perder todas elas, você perde. Simples assim. Mas por sorte tudo na floresta é interconectado, então, algumas vezes as Ninfas Noturnas deixam novas folhas cairem após serem banidas. Colete-as para ficar vivo ou somente nunca as perca. Elas existem numa variedade de cores, mas são iguais, e parece que o limite de quatro é temporário!"
tutorial bestiary: dark matter,"Below the leaves we have this bar. If it's filled with the dark matter from the banished souls of the Night Nymphs, you will be able to unleash dark energy destroying everything on it's path. It is the only way to destroy the portals and protect the Sunset Forest. You should also know that the Night Nymphs, that reach our candles or shrine don't leave the dark matter. So, I guess it's pretty obvious you should prevent such ocassions.","Под листьями у нас есть эта полоса. Если она наполнится темной материей из изгнанных душ Ночных Нимф, ты сможешь высвободить темную энергию, уничтожающую все на своем пути. Это единственный способ уничтожить порталы и защитить Лес Заката. Ты также должен знать, что Ночные Нимфы, которые достигают наших свечей или святилища, не оставляют темной материи. Думаю, очевидно, что нельзя этого допускать.","Em baixo das folhas nós temos essa barra. Ela se enche com matéria escura das almas banidas das Ninfas Noturnas. Eu serei capaz de liberar a energia escura acumulada destruindo tudo no caminho. Essa parece ser a unica forma de destruir os portais e proteger a Floresta do Crepúsculo. Você também deve saber que as Ninfas Noturnas que alcançam as velas não deixam matéria escura para trás, então eu acho que é meio óbvio que você deve previnir tais ocasiões."
tutorial bestiary: boss,"This is The Queen of the Night Nymphs. The real representation of Night's energy. She took the companion spirit. Get ready for a hard fight. She attacks when you get close to it. At the same time she sometimes makes ranged attacks and invokes her minions as well, those are the chance for us to get some leaves and buffs. The biggest problem is the teleportation, she can use it either for attacking or defending. Just dodge when you feel like she is teleporting to your back.","Это Королева Ночных Нимф. Настоящее воплощение энергии Ночи. Она забрала душу нашего компаньона. Приготовься к тяжелой борьбе. Она нападает, если приблизиться и в то же время иногда совершает дальние атаки. Она может вызывать своих миньонов - это шанс для нас получить некоторые листья или баффы. Самая большая проблема - телепортация, она может использовать ее как для атаки, так и для защиты. Уклоняйся, если чувствуешь, что она телепортируется к тебе за спину.","Essa é a Rainha das Ninfas Noturnas. A real representação da energia da Noite. Elu levou o espírito companheiro. Se prepare para uma batalha difícil. Elu ataca quando você chega perto delu. Ao mesmo tempo, algumas vezes, elu ataca com ataques à distância e também invoca capangas, essa é nossa chance de conseguir algumas folhas e buffs. O maior problema é o teleporte, que pode ser usado tanto para defesa, quanto para ataque. Apenas desvie quando você sentir que elu vai se teleportar para perto."
tutorial bestiary: skill steal,"She stole it! She sucked out the energy of your magic and is now using it against us. She seems to be much more powerful now. Yet I feel like it is still the same enemy for us, same attacks, same teleportation and same minions. We should return the energy back as soon as possible.","Она украла ее! Она высосала энергию твоей магии и теперь использует ее против нас. Кажется, теперь она гораздо сильнее. Но я чувствую, что для нас это все тот же враг: те же атаки, та же телепортация и те же миньоны. Мы должны вернуть энергию как можно скорее.","Elu roubou! Elu sugou a energia da sua mágica e agora está usando isso contra nós. Parece que está bem mais poderose agora. De qualquer forma eu acredito que ainda seja ê mesme inimigue para nós, com teleporte e capangas. Acho que devemos conseguir a energia de volta o mais rápido possível. Acredito que a única forma de derrotar a Rainha é conseguindo todos os elementos de volta"
final: hero no,"Farewell, my love...\n I know you'll wake up again.","Прощай, любовь моя...\n Я знаю, ты разбудишь меня вновь.","Adeus, meu amor... \n Eu sei que você acordará novamente."
Bestiary: Enemy Spawn Flash,Such flash with particles notifies you when the enemy is spawned from the portal out of your sight.,"Такая вспышка с частицами дает понять, что из портала вне поля твоего зрения появился враг.",Esse flash ocorre quando um inimigo nasceu de um portal fora do seu campo de visão.
Bestiary: Candle Damaged Flash,This type of flash let's you know when the enemy reaches your candle or shrine and deals the damage to it.,"Такой тип вспышки сигнализирует о том, что враг навредил свечи или святилищу вне поля твоего зрения.",Esse tipo de flash ocorre para te avisar quando um inimigo alcançou o altar ou uma das velas e os causou dano.
Bestiary: Momma/Voa Spawn Flash,This flash happens if a momma seed or a voa enemy is surged.,"Такая вспышка появляется вместе с семенами момма или нимфами воа, когда ты этого не видишь.",Esse flash ocorre quando uma semente de Momma ou um Voa surge.
Credits: Thank You Message,"We would like to say thank you to all the people who helped us on the way to finish our first game. Thank you to our families and friends. Thank you to those who we met on this long road, those who taught us and those who pushed us forward. We really hope this little thing we made is going to be a good start for our future in game development.","Мы хотим сказать спасибо всем тем, кто помогал нам на пути к завершению нашей первой игры. Спасибо нашим семьям и друзьям. Спасибо тем, кого мы встретили на этой длинной дороге, тем, кто учил нас и толкал вперед. Мы очень надеемся, что это маленькое творение станет хорошим началом для нашего успешного будущего в разработке игр. ","Gostaríamos de agradecer a todas as pessoas que nos ajudaram na jornada de terminar nosso primeiro jogo. Obrigado a nossas famílias e amigos. Obrigado a aquelus que conhecemos ao longo deste longo caminho, aquelus que nos ensinaram e nos impulsionaram. Nós realmente esperamos que esta pequena coisa que realizamos seja um bom começo para nosso futuro no desenvolvimento de jogos."
final: queen 1.1,You are too tired.,Ты устал.,Você está muito cansado.
final: queen 1.2,You can close your eyes.,Можешь закрыть глаза.,Você pode fechar os olhos.
final: queen 2.1,I've learned.,Я поняла.,Eu aprendi.
final: queen 2.2,There is no end to this cycle.,Этот цикл бесконечен.,Não há fim para este ciclo.
final: queen 2.3,The imbalance is also a part of balance.,Перевес тоже часть равновесия.,O desequilíbrio também é parte do equilíbrio.
final: queen 2.4,Do you understand what you are?,Ты понимаешь кто ты?,Você sequer entende o que você é?
final: queen 2.5,Fool.,Глупец.,Tole.
final: queen 2.6,How can you see the big picture if you can't even see yourself for who you are.,"Как ты можешь понять, что происходит вокруг, если не понимаешь даже себя.",Como você pode ver o panorama geral se você nem consegue se ver como é!
final: queen 2.7,You've been born and started fighting.,Ты родился и бросился в бой.,Você nasceu e começou a lutar.
final: queen 2.8,Anyway...,Что ж...,De qualquer forma...
final: queen 2.9,"It really doesn't matter what happen now, it will always happen again.","Уже неважно, что случится, ведь это будет происходить снова и снова.","Não importa o que ocorra agora, pois sempre se repetirá."
final: queen 3.1,I see.,Похоже...,Entendo.
final: queen 3.2,"I've played my part. ",Моя роль сыграна.,Eu fiz minha parte.
Illustrations end: Loss,"After the end, the Night became a thin, shapeless veil that hid from the light behind the trees. Rebel night nymphs were banished from the material plane, causing great loss to the darkness domain.","Так Ночь стала лишь тонкой бесформенной вуалью, что скрывается от света между деревьями. Восставшие нимфы ночи были изгнаны из материального мира, а тьма понесла большие потери.","Após o final, a Noite se tornou um fino véu que se escondia da luz atrás das árvores. As Ninfas Noturnas rebeldes foram banidas do mundo material, causando grande perda para o domínio da escuridão."
Illustrations end: Libra,"The celestial scales tipped to one side for the first time since the last war, flooding the forest of the ruins of Naz'raa with blinding daylight. With weak nocturnal energies, the material plane was doomed to an eternal morning.","Небесные весы впервые со времен последней войны склонились на одну сторону, заливая лес руин Наз'раа ослепительным дневным светом. От нехватки ночной энергии, мир был обречен на вечный закат.","A balança celestial pendeu para um lado pela primeira vez desde a ultima guerra, imundando a floresta das ruínas de Naz'raa com cegante luz diurna. Com as energias noturnas fracas, o plano material foi condenado a uma manhã eterna."
Illustrations end: New Night,"With all sides harmed by the energetic imbalance, Day, Night and Twilight rushed to correct this desecration, crowning a new Night, who ruled by many millennia with benevolence, bringing order with spine crippling whispers.","Обе стороны пострадали от перевеса энергии. День, Ночь и Сумерки поспешили исправить это осквернение, короновав новую Ночь, которая благосклонно правила многие тысячелетия, удерживая порядок лишь шепотом тьмы.","Com todos os lados prejudicádos pelo desequilíbrio energético, Dia, Noite e Crepúsculo se apressaram para corrigir esta grande profanação, coroando uma nova Noite, que governou por muitos milênos com benevolência, trazendo ordem com sussurros aterrorizantes."
Credits: With Love,"With love, from Tim, Kure, Jesus and Daryl.","С любовью, от Тимы, Куре, Хесуса и Дэрила.","Com amor, de Tim, Kure, Jesus e Daryl!"
Windowed,Windowed,В окне,Modo Janela.
Start Game,Start Game,Начать Игру,Começar Jogo
Language,Language,Язык,Idioma
Photosensitive,Photosensitive,Светочувствительный,Modo Fotossensível
Debug,Debug,Отладка,Debug
Wind Wave,Wind Wave,Волна Ветра,Onda de Vento
Thunder Strike,Thunder Strike,Удар Молнии,Impacto Relâmpago
New Game,New Game,Новая Игра,Novo Jogo
Tutorial,Tutorial,Обучение,Tutorial
Other,Other,Другие,Outros
Laptop,Laptop,Ноутбук,Laptop
Debug Data,Debug Data,Данные Отладки,Dados de Debug
Save,Save,Сохранить,Salvar
Fight Test,Fight Test,Тест Битвы,Teste de Luta
Photo Mode,Photo Mode,Фоторежим,Modo de Foto
Hide,Hide,Спрятать,Esconder
Pause Shader,Pause Shader,Вид света,Shader de Pause.
Resume,Resume,Продолжить,Continuar
Bestiary,Bestiary,Бестиарий,Bestiário
Exit,Exit,Выйти,Sair
Reset,Reset,Сбросить,Resetar
Color B,Blue,Синий,Azul
Color G,Green,Зелёный,Verde
Color R,Red,Красный,Vermelho
Pop Threshold,Pop Threshold,Граница бликов,Limite do Pop
Pop Strength,Pop Strength,Сила бликов,Força do Pop
Brightness,Brightness,Яркость,Claridade
Saturation,Saturation,Сатурация,Saturação
Contrast,Contrast,Контраст,Contraste
Ice,Ice,Лед,Gelo
Fire,Fire,Огонь,Fogo
Wind,Wind,Ветер,Vento
Thunder,Thunder,Гроза,Relâmpago
Idle,Idle,Старт,Básico
First Element,First Element,Первый Элемент,Primeiro Elemento
Special Light,Special Light,Специальный Свет,Luz Especial
Off,Off,Выкл.,Desligado
Stopped,Stopped,Стат.,Parado
Cycling,Cycling,Цикл.,Rodando
Quit,Quit,Выйти,Sair
for main menu composition,for main menu composition,за саундтрек меню,pela composição do menu principal
for infinite trust in us,for infinite trust in us,за бесконечную веру в нас,pela sua infinita confiança em nós
for neverending testing,for neverending testing,за бесконечные тесты,pelos testes inacabáveis
for sound design help,for sound design help,за помощь в дизайне звука,pela ajuda com o design de som
for winning that UNO game,for winning that UNO game,за победу в игре UNO,por ganhar aquele jogo de UNO
for sound assets,for sound assets,за звуковые ассеты,pelos assets de som
for font assets,for font assets,за предоставление шрифтов,pelos assets de fonte
for always being there for me,for always being there for me,"за то, что был рядом",por sempre estar lá por mim
for proofreading,for proofreading,за редактуру,pelas revisões
Game Saved,Game Saved,Игра Сохранена,
Bestiary: Game Saved,The indicator in the upper-right corner of your screen shows that your game is being saved.,"Индикатор в правом верхнем углу вашего экрана показывает, что игра сохраняется.",O indicador no canto superior direito da sua tela mostra que seu jogo está sendo salvo.
English,English,Англ.,Inglês
Russian,Russian,Русский,Russo
Portuguese,PT - BR,Порт/Бр.,PT - BR
enemy name: Bohra,"Its name means ""thief"" or ""burglar"" in the ancient Naz'aarian language.","На древнем Наз'аарийском языке название означает ""вор"" или ""грабитель"".","Seu nome significa ""ladrone"" ou ""gatune"" na língua anciã Naz'aariana."
